Time_ms,V1
449,1.779
706,1.75
912,1.72
917,1.69
921,1.727
925,1.716
929,1.72
933,1.731
937,1.745
941,1.727
945,1.787
949,1.765
953,1.771
957,1.779
961,1.765
965,1.762
969,1.712
973,1.744
977,1.727
981,1.743
985,1.73
989,1.732
993,1.739
997,1.731
1001,1.751
1005,1.778
1009,1.778
1013,1.817
1016,1.77
1020,1.685
1024,1.699
1028,1.735
1032,1.754
1040,1.744
1045,1.755
1050,1.817
1054,1.75
1057,1.726
1061,1.725
1065,1.705
1069,1.73
1073,1.768
1077,1.741
1081,1.704
1085,1.8
1089,1.741
1092,1.743
1096,1.706
1100,1.731
1103,1.768
1107,1.761
1111,1.718
1115,1.758
1118,1.733
1122,1.748
1126,1.708
1129,1.705
1133,1.726
1137,1.727
1141,1.776
1144,1.763
1148,1.803
1152,1.77
1156,1.766
1165,1.766
1170,1.775
1174,1.779
1178,1.747
1182,1.715
1186,1.715
1190,1.7
1194,1.726
1198,1.754
1202,1.716
1206,1.742
1210,1.729
1214,1.753
1218,1.736
1222,1.72
1226,1.719
1230,1.721
1234,1.717
1238,1.7
1242,1.708
1246,1.757
1250,1.789
1254,1.759
1258,1.778
1262,1.782
1266,1.721
1270,1.754
1275,1.775
1279,1.683
1283,1.728
1287,1.729
1296,1.716
1301,1.712
1305,1.77
1309,1.757
1313,1.77
1317,1.731
1321,1.709
1325,1.696
1329,1.725
1333,1.741
1337,1.752
1341,1.758
1345,1.76
1349,1.755
1353,1.725
1357,1.706
1361,1.734
1365,1.719
1369,1.775
1373,1.733
1377,1.773
1381,1.741
1385,1.729
1389,1.712
1393,1.716
1397,1.737
1401,1.79
1405,1.803
1409,1.744
1413,1.724
1417,1.736
1426,1.749
1431,1.776
1435,1.737
1439,1.747
1443,1.734
1447,1.732
1451,1.736
1455,1.737
1459,1.757
1463,1.764
1467,1.789
1471,1.771
1475,1.814
1480,1.768
1484,1.732
1488,1.738
1492,1.732
1496,1.738
1500,1.704
1504,1.699
1508,1.741
1512,1.723
1516,1.747
1520,1.733
1524,1.696
1528,1.762
1532,1.737
1536,1.744
1541,1.799
1545,1.76
1549,1.771
1558,1.719
1563,1.783
1567,1.785
1571,1.766
1575,1.749
1579,1.722
1583,1.723
1587,1.698
1591,1.693
1594,1.732
1598,1.726
1602,1.762
1606,1.749
1609,1.773
1614,1.754
1617,1.725
1621,1.724
1625,1.708
1629,1.755
1632,1.739
1636,1.747
1640,1.738
1644,1.751
1651,1.803
1655,1.748
1659,1.726
1662,1.775
1666,1.767
1670,1.732
1674,1.718
1680,1.739
1684,1.774
1688,1.753
1691,1.76
1695,1.698
1699,1.709
1703,1.737
1706,1.753
1710,1.752
1714,1.717
1718,1.762
1722,1.766
1726,1.712
1730,1.766
1734,1.758
1738,1.807
1742,1.733
1746,1.774
1750,1.743
1754,1.758
1758,1.722
1762,1.74
1766,1.725
1771,1.747
1775,1.783
1778,1.727
1783,1.704
1787,1.782
1791,1.77
1795,1.71
1799,1.756
1807,1.782
1812,1.724
1816,1.757
1820,1.749
1824,1.752
1828,1.738
1832,1.808
1836,1.727
1840,1.731
1844,1.757
1848,1.84
1852,1.717
1856,1.732
1860,1.758
1864,1.743
1868,1.695
1872,1.724
1877,1.791
1880,1.727
1885,1.725
1889,1.776
1893,1.696
1897,1.766
1901,1.797
1905,1.766
1909,1.699
1913,1.746
1917,1.657
1921,1.688
1925,1.753
1929,1.712
1939,1.736
1944,1.777
1948,1.747
1951,1.763
1955,1.696
1960,1.749
1964,1.741
1967,1.723
1972,1.783
1976,1.788
