Time_ms,V1
449,1.741
706,1.74
912,1.739
917,1.739
921,1.746
925,1.745
929,1.746
933,1.745
937,1.743
941,1.742
945,1.744
949,1.738
953,1.742
957,1.741
961,1.745
965,1.745
969,1.743
973,1.743
977,1.743
981,1.742
985,1.745
989,1.741
993,1.741
997,1.739
1001,1.745
1005,1.742
1009,1.739
1013,1.745
1016,1.745
1020,1.742
1024,1.742
1028,1.739
1032,1.741
1040,1.741
1045,1.742
1050,1.741
1054,1.744
1057,1.741
1061,1.745
1065,1.741
1069,1.743
1073,1.735
1077,1.742
1081,1.743
1085,1.741
1089,1.741
1092,1.741
1096,1.739
1100,1.74
1103,1.74
1107,1.739
1111,1.741
1115,1.741
1118,1.741
1122,1.745
1126,1.745
1129,1.74
1133,1.743
1137,1.74
1141,1.741
1144,1.745
1148,1.743
1152,1.742
1156,1.741
1165,1.739
1170,1.741
1174,1.735
1178,1.745
1182,1.746
1186,1.742
1190,1.742
1194,1.744
1198,1.74
1202,1.742
1206,1.744
1210,1.742
1214,1.745
1218,1.74
1222,1.741
1226,1.739
1230,1.74
1234,1.741
1238,1.743
1242,1.74
1246,1.737
1250,1.743
1254,1.741
1258,1.744
1262,1.744
1266,1.744
1270,1.74
1275,1.745
1279,1.738
1283,1.744
1287,1.737
1296,1.739
1301,1.749
1305,1.744
1309,1.745
1313,1.74
1317,1.741
1321,1.75
1325,1.746
1329,1.741
1333,1.738
1337,1.742
1341,1.744
1345,1.745
1349,1.743
1353,1.745
1357,1.744
1361,1.742
1365,1.738
1369,1.74
1373,1.74
1377,1.741
1381,1.741
1385,1.744
1389,1.744
1393,1.741
1397,1.738
1401,1.74
1405,1.742
1409,1.745
1413,1.745
1417,1.743
1426,1.749
1431,1.747
1435,1.738
1439,1.745
1443,1.739
1447,1.744
1451,1.74
1455,1.747
1459,1.745
1463,1.746
1467,1.747
1471,1.748
1475,1.74
1480,1.743
1484,1.745
1488,1.741
1492,1.743
1496,1.745
1500,1.743
1504,1.747
1508,1.746
1512,1.745
1516,1.744
1520,1.74
1524,1.741
1528,1.741
1532,1.745
1536,1.741
1541,1.745
1545,1.743
1549,1.743
1558,1.739
1563,1.74
1567,1.741
1571,1.741
1575,1.742
