Time_ms,V1
449,1.747
706,1.743
912,1.753
917,1.744
921,1.747
925,1.745
929,1.745
933,1.746
937,1.734
941,1.745
945,1.742
949,1.745
953,1.744
957,1.745
961,1.743
965,1.744
969,1.744
973,1.744
977,1.747
981,1.745
985,1.745
989,1.744
993,1.746
997,1.749
1001,1.745
1005,1.748
1009,1.744
1013,1.745
1016,1.743
1020,1.744
1024,1.746
1028,1.746
1032,1.747
1040,1.75
1045,1.742
1050,1.745
1054,1.748
1057,1.749
1061,1.747
1065,1.745
1069,1.748
1073,1.74
1077,1.746
1081,1.747
1085,1.742
1089,1.747
1092,1.747
1096,1.747
1100,1.748
1103,1.745
1107,1.741
1111,1.743
1115,1.747
1118,1.748
1122,1.746
1126,1.745
1129,1.738
1133,1.75
1137,1.746
1141,1.745
1144,1.74
1148,1.748
1152,1.742
1156,1.745
1165,1.746
1170,1.741
1174,1.745
1178,1.742
1182,1.746
1186,1.75
1190,1.75
1194,1.746
1198,1.744
1202,1.743
1206,1.748
1210,1.744
1214,1.745
1218,1.75
1222,1.746
1226,1.743
1230,1.743
1234,1.739
1238,1.741
1242,1.741
1246,1.748
1250,1.743
1254,1.743
1258,1.745
1262,1.749
1266,1.747
1270,1.748
1275,1.749
1279,1.748
1283,1.746
1287,1.746
1296,1.749
1301,1.747
1305,1.742
1309,1.747
1313,1.749
1317,1.748
1321,1.744
1325,1.74
1329,1.741
1333,1.742
1337,1.752
1341,1.746
1345,1.75
1349,1.745
1353,1.746
1357,1.745
1361,1.748
1365,1.755
1369,1.748
1373,1.75
1377,1.748
1381,1.744
1385,1.744
1389,1.763
1393,1.743
1397,1.746
1401,1.75
1405,1.743
1409,1.765
1413,1.741
1417,1.743
1426,1.748
1431,1.746
1435,1.745
1439,1.745
1443,1.745
1447,1.747
1451,1.75
1455,1.743
1459,1.743
1463,1.743
1467,1.747
1471,1.748
1475,1.746
1480,1.746
1484,1.746
1488,1.741
1492,1.745
1496,1.745
1500,1.746
1504,1.744
1508,1.748
1512,1.744
1516,1.748
1520,1.745
1524,1.757
1528,1.743
1532,1.745
1536,1.753
1541,1.75
1545,1.75
1549,1.742
1558,1.745
1563,1.738
1567,1.748
1571,1.75
1575,1.745
1579,1.743
1583,1.745
1587,1.743
1591,1.75
1594,1.744
1598,1.746
1602,1.745
1606,1.744
1609,1.746
1614,1.745
1617,1.745
1621,1.742
1625,1.745
1629,1.743
1632,1.742
1636,1.745
1640,1.74
1644,1.748
1651,1.743
1655,1.749
1659,1.748
1662,1.746
1666,1.746
1670,1.744
1674,1.745
1680,1.745
1684,1.745
1688,1.743
1691,1.748
1695,1.746
1699,1.741
1703,1.737
1706,1.744
1710,1.744
1714,1.745
1718,1.746
1722,1.743
1726,1.75
1730,1.745
1734,1.743
1738,1.743
1742,1.747
1746,1.742
1750,1.741
1754,1.75
1758,1.748
1762,1.741
1766,1.749
1771,1.747
1775,1.75
1778,1.748
1783,1.748
1787,1.745
1791,1.752
1795,1.745
1799,1.748
1807,1.745
1812,1.745
1816,1.747
1820,1.747
1824,1.745
1828,1.744
1832,1.745
1836,1.743
1840,1.747
1844,1.746
1848,1.745
1852,1.747
1856,1.745
1860,1.745
1864,1.746
1868,1.747
1872,1.744
1877,1.75
