segment_id,t0_s,t1_s,seg_len_s,n_samples,bp_drv1,bp_drv2,bp_drv3,bp_drv4,bp_front_mean,bp_rear_mean,bp_ratio_front_over_rear,em_label,gt_label,dlon,em_decisive,gt_decisive,eval_ok,correct,east_m,north_m,t_start_s_used,t_end_s_used,fs_drv_hz,step_s,min_samples_per_seg,dominance_frac,eps_lon,gps_rotate_deg,earth_radius_m
0,80.0,81.0,1.0,250,1.4801448824409515,1.2938282460339972,1.3125921359793697,1.3626655553377305,1.3869865642374744,1.3376288456585501,1.036899412523228,neutral,forward,8.400000000108321e-05,False,True,False,,0.7790420844490791,0.5877413841390106,80.0,200.0,250.0,1.0,125,0.07,1e-05,23.0,6371000.0
1,81.0,82.0,1.0,250,1.563044635148604,1.392531579372044,1.5155626503460664,1.358220035987794,1.477788107260324,1.4368913431669301,1.0284619740301704,neutral,forward,8.400000000108321e-05,False,True,False,,7.744507180802678,5.812504688765906,80.0,200.0,250.0,1.0,125,0.07,1e-05,23.0,6371000.0
2,82.0,83.0,1.0,250,1.640963723217833,1.3815511247728582,1.4233199021956189,1.3132675897458617,1.5112574239953456,1.3682937459707403,1.1044831772750516,forward,forward,8.400000000108321e-05,True,True,True,True,14.777402516440535,10.878412304646925,80.0,200.0,250.0,1.0,125,0.07,1e-05,23.0,6371000.0
3,83.0,84.0,1.0,250,1.5496729265510656,1.3657808274932164,1.3438712156077628,1.2448929214258904,1.457726877022141,1.2943820685168266,1.1261952034707061,forward,forward,9.099999999762076e-05,True,True,True,True,21.815492444256407,16.134003021642112,80.0,200.0,250.0,1.0,125,0.07,1e-05,23.0,6371000.0
4,84.0,85.0,1.0,250,1.3060053895604349,1.3412408011794292,1.3265210449218907,1.2919005540369433,1.323623095369932,1.309210799479417,1.0110083845139726,neutral,forward,8.79999999980896e-05,False,True,False,,29.436502250000363,21.530726515502227,80.0,200.0,250.0,1.0,125,0.07,1e-05,23.0,6371000.0
5,85.0,86.0,1.0,250,1.7354802141305823,1.4403466190120993,1.5079428237574477,1.4026803509588837,1.5879134165713409,1.4553115873581657,1.0911157654244257,forward,forward,8.79999999980896e-05,True,True,True,True,36.54042820014228,27.550162934858925,80.0,200.0,250.0,1.0,125,0.07,1e-05,23.0,6371000.0
6,86.0,87.0,1.0,250,1.7869258594791795,1.4548614978398873,1.4181234464839123,1.3403889026097524,1.6208936786595334,1.3792561745468324,1.1751940709579156,forward,forward,8.400000000108321e-05,True,True,True,True,43.63480496504169,33.381933366425905,80.0,200.0,250.0,1.0,125,0.07,1e-05,23.0,6371000.0
7,87.0,88.0,1.0,250,1.5667230450019318,1.4006484738160943,1.5154563965782386,1.319276510391425,1.483685759409013,1.4173664534848318,1.0467905147332393,neutral,forward,8.700000000061436e-05,False,True,False,,50.2957912485175,39.32400380269948,80.0,200.0,250.0,1.0,125,0.07,1e-05,23.0,6371000.0
8,88.0,89.0,1.0,250,1.5183381051304532,1.347450090447204,1.4174966772441522,1.0798451356472534,1.4328940977888287,1.2486709064457027,1.147535423779121,forward,forward,8.400000000108321e-05,True,True,True,True,57.244237083795454,45.36151807121328,80.0,200.0,250.0,1.0,125,0.07,1e-05,23.0,6371000.0
9,89.0,90.0,1.0,250,1.6442182871039461,1.1992303580391246,1.3234981024006303,1.1459550951893203,1.4217243225715355,1.2347265987949751,1.1514486882837542,forward,forward,7.999999999697138e-05,True,True,True,True,63.66861663631288,51.57666159039444,80.0,200.0,250.0,1.0,125,0.07,1e-05,23.0,6371000.0
