segment_id,t0_s,t1_s,seg_len_s,n_samples,east_m,north_m,drv1,drv2,drv3,drv4,bp_right_mean,bp_left_mean,bp_ratio_right_over_left,dlon,gt_label,em_label,em_decisive,gt_decisive,eval_ok,correct
0,50.0,51.0,1.0,250,0.10184121705547629,-0.04091973303684693,1.463277728555759,1.2403912143041456,1.353140197584712,1.4031128509725903,1.4331952897641747,1.2967657059444289,1.1052075815965419,1.100000000064938e-05,right,right,True,True,True,True
1,51.0,52.0,1.0,250,1.319910477087882,-0.5675389059351794,1.4798883210403078,1.369567591325935,1.4404774882999287,1.4135353051025972,1.4467118130714525,1.405022539812932,1.0296716046022087,2.300000000587943e-05,right,neutral,False,True,False,
2,52.0,53.0,1.0,250,3.6344835910539555,-2.045097091139759,1.413456372365003,1.1539559907499146,1.37349655912684,1.344199113799574,1.3788277430822884,1.2637262749383773,1.0910810121040837,2.2999999998774e-05,right,right,True,True,True,True
3,53.0,54.0,1.0,250,5.912023535112074,-5.140763848712835,1.4551811584500767,1.3321788973356388,1.3943549116917686,1.5372852896056837,1.4962332240278802,1.3632669045137038,1.0975350601367435,1.8999999994662176e-05,right,right,True,True,True,True
4,54.0,55.0,1.0,250,7.887260103038519,-10.342907296907379,1.273678032727171,1.2260197926007137,1.4814803148351703,1.4725049816787918,1.3730915072029815,1.3537500537179419,1.0142873150268177,2.7000000002885827e-05,right,neutral,False,True,False,
5,55.0,56.0,1.0,250,10.616443705427159,-16.81712070580886,1.6281981459967878,1.3283001203628204,1.54828014114707,1.4160971400420637,1.5221476430194256,1.4382901307549452,1.058303613764258,2.5999999998305157e-05,right,neutral,False,True,False,
6,56.0,57.0,1.0,250,13.30577639596703,-24.138639455754983,1.7713618948181213,1.075016105369136,1.4367578101942755,1.506153099074546,1.6387574969463337,1.2558869577817058,1.3048606698176868,3.500000000400405e-05,right,right,True,True,True,True
7,57.0,58.0,1.0,250,16.757509344323157,-32.6228123589522,1.3889102680503074,1.1326004301132282,1.3989020940183565,1.4711038094335962,1.4300070387419517,1.2657512620657925,1.1297693959301944,2.9999999995311555e-05,right,right,True,True,True,True
8,58.0,59.0,1.0,250,19.82240668116597,-41.21773540871755,1.6570825692433866,1.0604201435908112,1.5177223493607126,1.5370137456906865,1.5970481574670365,1.2890712464757619,1.2389138007951568,3.0999999999892225e-05,right,right,True,True,True,True
9,59.0,60.0,1.0,250,22.932387876789022,-50.11332954044297,1.372289006665746,1.1648621116531241,1.6655561052761836,1.5006153436651968,1.4364521751654715,1.4152091084646539,1.0150105497299011,3.0000000002416982e-05,right,neutral,False,True,False,
