segment_id,t0_s,t1_s,seg_len_s,n_samples,bp_drv,alt_mean_aligned_m,alt_delta_next_m,gt_label,em_label,t_start_s_used,t_end_s_used,fs_drv_hz,step_s,min_samples_per_seg,alt_lag_s,alt_delta_threshold_m,bp_up_threshold,n_rows_raw,n_rows_after_filter,alt_interp_tmin_s,alt_interp_tmax_s,em_decisive,gt_decisive,eval_ok,correct
0,50.0,51.0,1.0,250,0.008090843639453754,30.9,-0.09919999999999618,down,down,50.0,150.0,250.0,1.0,125,0.0,0.3,0.5,51000,50289,0.0,201.152,True,True,True,1.0
1,51.0,52.0,1.0,250,0.00924748570025713,30.800800000000002,-0.1004000000000076,down,down,50.0,150.0,250.0,1.0,125,0.0,0.3,0.5,51000,50289,0.0,201.152,True,True,True,1.0
2,52.0,53.0,1.0,250,0.010394789526551127,30.700399999999995,-0.09919999999998907,down,down,50.0,150.0,250.0,1.0,125,0.0,0.3,0.5,51000,50289,0.0,201.152,True,True,True,1.0
3,53.0,54.0,1.0,250,0.3059635317046076,30.601200000000006,-0.19720000000000582,down,down,50.0,150.0,250.0,1.0,125,0.0,0.3,0.5,51000,50289,0.0,201.152,True,True,True,1.0
4,54.0,55.0,1.0,250,0.2838088010534664,30.404,0.6848000000000027,up,down,50.0,150.0,250.0,1.0,125,0.0,0.3,0.5,51000,50289,0.0,201.152,True,True,True,0.0
5,55.0,56.0,1.0,250,0.6348807080037278,31.088800000000003,6.4072,up,up,50.0,150.0,250.0,1.0,125,0.0,0.3,0.5,51000,50289,0.0,201.152,True,True,True,1.0
6,56.0,57.0,1.0,250,0.5700757213101264,37.496,10.042399999999994,up,up,50.0,150.0,250.0,1.0,125,0.0,0.3,0.5,51000,50289,0.0,201.152,True,True,True,1.0
7,57.0,58.0,1.0,250,0.6969513796001423,47.538399999999996,10.337600000000002,up,up,50.0,150.0,250.0,1.0,125,0.0,0.3,0.5,51000,50289,0.0,201.152,True,True,True,1.0
8,58.0,59.0,1.0,250,1.1331538979430038,57.876,13.697599999999973,up,up,50.0,150.0,250.0,1.0,125,0.0,0.3,0.5,51000,50289,0.0,201.152,True,True,True,1.0
9,59.0,60.0,1.0,250,0.9939622846715342,71.57359999999997,15.942400000000035,up,up,50.0,150.0,250.0,1.0,125,0.0,0.3,0.5,51000,50289,0.0,201.152,True,True,True,1.0
10,60.0,61.0,1.0,250,0.9882574500289667,87.516,17.043999999999997,up,up,50.0,150.0,250.0,1.0,125,0.0,0.3,0.5,51000,50289,0.0,201.152,True,True,True,1.0
